Brand,Name,Type,Scent,Longevity,Rating calc,Comments
Ahmed Al Maghribi,Kaaf,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌗🌑🌑,🟡  10 / 6.5,
Ahmed Al Maghribi,Joud,Eau de Parfum,🌕🌕🌗🌑🌑,🌕🌕🌕🌕🌑,🟡  10 / 6.5,
Ahmed Al Maghribi,Lathani,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌕🌗🌑,🟠  10 / 7,
Ahmed Al Maghribi,O'Clock,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌗🌑,🟠  10 / 7.5,
Ahmed Al Maghribi,Tiff Tiff,Eau de Parfum,🌕🌕🌕🌑🌑,🌕🌕🌗🌑🌑,🟤  10 / 5.5,
Ahmed Al Maghribi,White Tiger,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌗🌑🌑,🟡  10 / 6,
Azzaro,The Most Wanted Intense,Eau de Toilette,🌕🌕🌕🌗🌑,🌕🌕🌕🌑🌑,🟡  10 / 6.5,
Burberry,Hero Parfum Intense,Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌗🌑,🟠  10 / 7.5,
Bvlgari,Man In Black Parfum,Parfum,🌕🌕🌕🌕🌕,🌕🌕🌗🌑🌑,🟠  10 / 7.5,One of my personal favorite scents
Calvin Klein,Eternity for Men Amber Essence,Parfum,🌕🌕🌕🌕🌑,🌕🌕🌗🌑🌑,🟡  10 / 6.5,
Issey Miyake,L'Eau d'Issey Pour Homme,Eau de Toilette,🌕🌕🌕🌑🌑,🌕🌕🌑🌑🌑,🟤  10 / 5,
Issey Miyake,Le Sel d'Issey,Eau de Toilette,🌕🌕🌕🌗🌑,🌕🌕🌕🌗🌑,🟠  10 / 7,
Novellista,Blue Fortune,Eau de Parfum,🌕🌕🌗🌑🌑,🌕🌕🌑🌑🌑,🟤  10 / 4.5,
Novellista,Unique Wood,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌑🌑🌑,🟡  10 / 6,
Novellista,Velvet Dusk,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌗🌑🌑,🟡  10 / 6.5,
Tom Ford,Bois Pacifique,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌗🌑🌑,🟡  10 / 6.5,
Ajmal,Amber Wood,Eau de Parfum,🌕🌕🌕🌕🌗,🌕🌕🌕🌕🌑,🟣  10 / 8.5,
Ajmal,Santal Wood,Eau de Parfum,🌕🌕🌕🌑🌑,🌕🌕🌕🌕🌑,🟠  10 / 7,
Ajmal,Incense Wood,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌗🌑,🟠  10 / 7.5,
Ajmal,Hatkora Wood,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌕🌗🌑,🟠  10 / 7,
Amouage,Beach Hut Man,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌕🌕🌑,🟠  10 / 7.5,
Amouage,Silver Oud,Eau de Parfum,🌕🌕🌑🌑🌑,🌕🌕🌕🌕🌕,🟠  10 / 7,
Amouage,Reflection Man,Eau de Parfum,🌕🌕🌕🌕🌗,🌕🌕🌕🌕🌑,🟣  10 / 8.5,
Amouage,Reckless Leather,Eau de Parfum,🌕🌕🌗🌑🌑,🌕🌕🌕🌕🌑,🟡  10 / 6.5,
Amouage,Overture,Eau de Parfum,🌕🌕🌗🌑🌑,🌕🌕🌕🌕🌗,🟠  10 / 7,
